ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
64,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาจีน,Admission1,,2431,43,43,5,5,1 : 1,87.2333,79.2333
65,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาญี่ปุ่น,Admission1,,2431,43,42,5,4,1 : 0.98,82.0500,73.2333
66,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาบาลี,Admission1,,2431,43,92,10,10,1 : 2.14,87.6000,74.1000
67,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาฝรั่งเศส,Admission1,,2431,43,92,13,11,1 : 2.14,84.9333,74.6667
68,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,สาขาวิชาการปกครอง เลือกสอบวิชาภาษาอาหรับ,Admission1,,2431,43,4,0,0,1 : 0.09,0.0000,0.0000
69,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาคณิตศาสตร์,Admission1,,2432,45,149,0,0,1 : 3.31,0.0000,0.0000
70,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาเกาหลี,Admission1,,2432,45,100,6,6,1 : 2.22,91.7667,89.5833
71,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาเยอรมัน,Admission1,,2432,45,54,4,3,1 : 1.2,93.4333,88.4000
72,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาจีน,Admission1,,2432,45,111,5,5,1 : 2.47,98.5000,90.7833
73,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาญี่ปุ่น,Admission1,,2432,45,96,8,8,1 : 2.13,97.3333,89.0167
74,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาบาลี,Admission1,,2432,45,85,7,7,1 : 1.89,95.6000,89.1000
75,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาฝรั่งเศส,Admission1,,2432,45,125,17,16,1 : 2.78,97.0667,88.4500
76,10010124903201A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร์,หลักสูตรรัฐศาสตรบัณฑิต,ความสัมพันธ์ระหว่างประเทศ,สาขาวิชาความสัมพันธ์ระหว่างประเทศ เลือกสอบวิชาภาษาอาหรับ,Admission1,,2432,45,7,0,0,1 : 0.16,0.0000,0.0000
